"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"7s1/2","6p1/2","4.249","0.004","4.249(4)","1359.2016","0.0006","1359.2016(6)","7283819.4814","13713.948729","7.284(14)E+06","0.35160872506017327","0.0005546908751800511","0.35161(55)","George Toh, Amy Damitz, Nathan Glotzbach, Jonah Quirk, I. C. Stevenson, J. Choi, M. S. Safronova, and D. S. Elliott. Phys. Rev. A 99, 032504 (2019)","https://doi.org/10.1103/PhysRevA.99.032504","",""
"7s1/2","6p3/2","6.489","0.005","6.489(5)","1469.8919","0.0006","1469.8919(6)","13431876.5815","20699.462984","1.3432(21)E+07","0.6483912749398265","0.0005546908751800512","0.64839(55)","George Toh, Amy Damitz, Nathan Glotzbach, Jonah Quirk, I. C. Stevenson, J. Choi, M. S. Safronova, and D. S. Elliott. Phys. Rev. A 99, 032504 (2019)","https://doi.org/10.1103/PhysRevA.99.032504","",""
"8s1/2","6p1/2","1.0225182","0.0104242","1.023(10)","761.0998","0.0000","761.0998","2402451.1868","48984.226709","2.402(49)E+06","0.22224104543354964","0.004018873995468815","0.2222(40)","","","",""
"8s1/2","6p3/2","1.4554009","0.0153247","1.455(15)","794.6067","0.0000","794.6067","4277065.7150","90071.057345","4.277(90)E+06","0.39565405578593904","0.005433871078544524","0.3957(54)","","","",""
"8s1/2","7p1/2","9.3125109","0.0229434","9.313(23)","3918.8003","0.0307","3918.80(3)","1459861.0235","7193.453430","1.4599(72)E+06","0.13504584061607883","0.0014405694714650136","0.1350(14)","","","",""
"8s1/2","7p3/2","14.0659020","0.0677740","14.066(68)","4218.0702","0.0463","4218.07(5)","2670736.7504","25737.072172","2.671(26)E+06","0.2470590581644327","0.002954885745239482","0.2471(30)","","","",""
"9s1/2","6p1/2","0.5448208","0.0056699","0.5448(57)","635.6311","0.0000","635.6311","1170925.2278","24371.422490","1.171(24)E+06","0.1958467914789412","0.0036995542119890555","0.1958(37)","","","",""
"9s1/2","6p3/2","0.7655814","0.0088010","0.7656(88)","658.8329","0.0000","658.8329","2076319.7187","47738.071599","2.076(48)E+06","0.34728140220619547","0.005543090167781179","0.3473(55)","","","",""
"9s1/2","7p1/2","1.9590677","0.0179181","1.959(18)","1943.5157","0.0076","1943.516(8)","529629.3294","9688.234069","5.296(97)E+05","0.08858482367926185","0.0017008228859677857","0.0886(17)","","","",""
"9s1/2","7p3/2","2.7273306","0.0277719","2.727(28)","2014.3966","0.0106","2014.40(1)","921887.5198","18774.823729","9.22(19)E+05","0.15419320428559058","0.0030064087304405096","0.1542(30)","","","",""
