"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"8s1/2","7p1/2","4.2405116","0.0159920","4.241(16)","1332.8764","0.0053","1332.876(5)","7693149.3663","58025.546237","7.693(58)E+06","0.4092932291584209","0.001974574118334629","0.4093(20)","","","",""
"8s1/2","7p3/2","7.4639297","0.0116899","7.464(12)","1719.4001","0.0089","1719.400(9)","11103031.0203","34779.243220","1.1103(35)E+07","0.5907067708415791","0.001974574118334629","0.5907(20)","","","",""
"9s1/2","7p1/2","1.0114065","0.0130965","1.011(13)","744.4026","0.0022","744.403(2)","2512263.3165","65061.591925","2.512(65)E+06","0.27174209860178195","0.005864706677430963","0.2717(59)","","","",""
"9s1/2","7p3/2","1.3853267","0.0211764","1.385(21)","851.2810","0.0029","851.281(3)","3151540.1819","96350.238889","3.152(96)E+06","0.34089027898733987","0.007287644043657705","0.3409(73)","","","",""
"9s1/2","8p1/2","9.3550524","0.0275990","9.355(28)","3909.2430","0.0616","3909.24(6)","1484061.0056","8756.747193","1.4841(88)E+06","0.16052531176754872","0.0021729554532498602","0.1605(22)","","","",""
"9s1/2","8p3/2","15.9342220","0.0263060","15.934(26)","4968.4652","0.0992","4968.5(1)","2097163.5186","6925.605377","2.0972(69)E+06","0.2268423106433294","0.002918756663596418","0.2268(29)","","","",""
"10s1/2","7p1/2","0.5390844","0.0070504","0.5391(71)","622.1533","0.0002","622.1533(2)","1222527.2119","31977.574804","1.223(32)E+06","0.24628324394372098","0.005523197168252062","0.2463(55)","","","",""
"10s1/2","7p3/2","0.7080048","0.0113041","0.708(11)","695.0903","0.0003","695.0903(3)","1512118.9029","48285.388192","1.512(48)E+06","0.3046227069779707","0.007171237443192897","0.3046(72)","","","",""
"10s1/2","8p1/2","1.9335544","0.0214700","1.934(21)","1923.9438","0.0029","1923.944(3)","531830.1465","11810.780684","5.32(12)E+05","0.10713941777465202","0.002497205561611458","0.1071(25)","","","",""
"10s1/2","8p3/2","2.4543148","0.0345661","2.454(35)","2149.4694","0.0033","2149.469(3)","614474.7772","17308.290595","6.14(17)E+05","0.12378852590870663","0.0033962732888217196","0.1238(34)","","","",""
"10s1/2","9p1/2","16.2327890","0.0631620","16.233(63)","8386.3983","0.3542","8386.4(4)","452581.8664","3522.470995","4.526(35)E+05","0.09117451876028636","0.0013063297990673042","0.0912(13)","","","",""
"10s1/2","9p3/2","27.1790930","0.1226060","27.18(12)","10588.5430","0.5646","10588.5(6)","630374.4739","5688.183968","6.304(57)E+05","0.1269915866346633","0.0018685422375775318","0.1270(19)","","","",""
"11s1/2","7p1/2","0.3577018","0.0046083","0.3577(46)","572.0333","0.0002","572.0333(2)","692493.4120","17842.892561","6.92(18)E+05","0.23681765589552656","0.005298347263795918","0.2368(53)","","","",""
