"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"3s1/2","2p1/2","2.4325638","0.0012163","2.4326(12)","812.8456","0.0093","812.846(9)","11161991.1891","11168.792659","1.1162(11)E+07","0.3333381048719861","0.0003144578834565323","0.33334(31)","","","",""
"3s1/2","2p3/2","3.4402704","0.0017201","3.4403(17)","812.8680","0.0093","812.868(9)","22323503.0462","22336.317874","2.2324(22)E+07","0.6666618951280139","0.0003144578834565323","0.66666(31)","","","",""
"4s1/2","2p1/2","0.6482327","0.0003241","0.64823(32)","497.3046","0.0035","497.305(3)","3461240.1178","3461.835874","3.4612(35)E+06","0.19398929787269176","0.00018389265638505892","0.19399(18)","","","",""
"4s1/2","2p3/2","0.9167469","0.0004584","0.91675(46)","497.3130","0.0035","497.313(3)","6922241.2145","6924.182715","6.9222(69)E+06","0.387965199524016","0.000277219339619376","0.38797(28)","","","",""
"4s1/2","3p1/2","5.9965857","0.0029983","5.9966(30)","2446.9741","0.0847","2446.97(8)","2486321.5723","2499.690134","2.4863(25)E+06","0.13934883442956553","0.00014042199674088487","0.13935(14)","","","",""
"4s1/2","3p3/2","8.4804376","0.0042402","8.4804(42)","2446.9741","0.0847","2446.97(8)","4972625.2899","4999.328593","4.9726(50)E+06","0.2786966681737267","0.00023873018536493208","0.27870(24)","","","",""
"5s1/2","2p1/2","0.3485489","0.0001743","0.34855(17)","427.4264","0.0026","427.426(3)","1576088.7613","1576.578916","1.5761(16)E+06","0.16083076249078226","0.00015132065365582937","0.16083(15)","","","",""
"5s1/2","2p3/2","0.4929241","0.0002465","0.49292(25)","427.4326","0.0026","427.433(3)","3152059.5175","3153.063036","3.1521(32)E+06","0.3216494832505871","0.00024143043592643614","0.32165(24)","","","",""
"5s1/2","3p1/2","1.5215721","0.0007608","1.52157(76)","1356.0940","0.0260","1356.09(3)","940487.4095","942.059933","9.4049(94)E+05","0.09597131259486259","9.679483846031012e-05","0.095971(97)","","","",""
"5s1/2","3p3/2","2.1518244","0.0010759","2.1518(11)","1356.0940","0.0260","1356.09(3)","1880968.7002","1884.058011","1.8810(19)E+06","0.19194200080079618","0.00017429931772634113","0.19194(17)","","","",""
