"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"4s1/2","3p1/2","3.5762286","0.0017881","3.5762(18)","1138.4557","0.0004","1138.4557(4)","8780908.3300","8780.842716","8.7809(88)E+06","0.3338066069530873","0.00031449005914833023","0.33381(31)","","","",""
"4s1/2","3p3/2","5.0670424","0.0025335","5.0670(25)","1140.6888","0.0004","1140.6888(4)","17524467.7384","17524.330332","1.7524(18)E+07","0.6661933930469127","0.00031449005914833023","0.66619(31)","","","",""
"5s1/2","3p1/2","0.7573735","0.0003787","0.75737(38)","615.5929","0.0001","615.5929(1)","2491017.5772","2491.104906","2.4910(25)E+06","0.19390428433473225","0.0001836471957647081","0.19390(18)","","","",""
"5s1/2","3p3/2","1.0710992","0.0005355","1.07110(54)","616.2452","0.0001","616.2452(1)","4966335.3613","4965.875743","4.9663(50)E+06","0.3865864748701642","0.00027649812178771936","0.38659(28)","","","",""
"5s1/2","4p1/2","8.3874764","0.0041937","8.3875(42)","3408.6846","0.0234","3408.68(2)","1799448.7680","1799.812448","1.7994(18)E+06","0.1400716031706936","0.00014041549312454442","0.14007(14)","","","",""
"5s1/2","4p3/2","11.8806770","0.0059403","11.8807(59)","3415.1921","0.0234","3415.19(2)","3589833.3522","3590.571210","3.5898(36)E+06","0.27943763762441","0.0002381088278872549","0.27944(24)","","","",""
"6s1/2","3p1/2","0.3911683","0.0001956","0.39117(20)","515.0273","0.0001","515.0273(1)","1134681.4506","1134.773459","1.1347(11)E+06","0.16822406565140952","0.00015717804022054546","0.16822(16)","","","",""
"6s1/2","3p3/2","0.5530279","0.0002765","0.55303(28)","515.4838","0.0001","515.4838(1)","2261967.3687","2261.853362","2.2620(23)E+06","0.33535169446370855","0.0002461103009896035","0.33535(25)","","","",""
"6s1/2","4p1/2","1.5886508","0.0007943","1.58865(79)","1637.8332","0.0054","1637.833(5)","581949.3989","581.959171","5.8195(58)E+05","0.0862778657710586","8.785099352092564e-05","0.086278(88)","","","",""
"6s1/2","4p3/2","2.2453051","0.0011227","2.2453(11)","1639.3341","0.0054","1639.334(5)","1159272.8325","1159.378465","1.1593(12)E+06","0.17186990144286757","0.0001599135361168627","0.17187(16)","","","",""
"6s1/2","5p1/2","14.9679420","0.0074840","14.9679(75)","7506.1663","0.1132","7506.2(1)","536669.5391","537.221050","5.3667(54)E+05","0.0795648256431889","8.160444163291282e-05","0.079565(82)","","","",""
"6s1/2","5p3/2","21.1989740","0.0105995","21.199(11)","7520.1088","0.1137","7520.1(1)","1070519.6143","1071.620979","1.0705(11)E+06","0.15871164702776672","0.00015000634110576633","0.15871(15)","","","",""
