"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"6s1/2","5p1/2","4.1462307","0.0081555","4.1462(82)","1323.8791","0.0018","1323.879(2)","7505839.7351","29527.497543","7.506(30)E+06","0.34095859599513306","0.0012943954862963893","0.3410(13)","","","",""
"6s1/2","5p3/2","6.0475447","0.0127237","6.048(13)","1366.8737","0.0019","1366.874(2)","14508093.4030","61048.484417","1.4508(61)E+07","0.659041404004867","0.0012943954862963893","0.6590(13)","","","",""
"7s1/2","5p1/2","0.9529290","0.0053152","0.9529(53)","728.2002","0.0005","728.2002(5)","2382352.3203","26576.333190","2.382(27)E+06","0.21020100443393802","0.0021102146023566507","0.2102(21)","","","",""
"7s1/2","5p3/2","1.3498110","0.0079815","1.3498(80)","741.0211","0.0006","741.0211(6)","4536192.5090","53645.467664","4.536(54)E+06","0.4002398023094969","0.0030100116736261093","0.4002(30)","","","",""
"7s1/2","6p1/2","9.2265118","0.0124474","9.227(12)","3851.5519","0.0210","3851.55(2)","1509402.6780","4072.716504","1.5094(41)E+06","0.13317843725379783","0.0007765025517880965","0.13318(78)","","","",""
"7s1/2","6p3/2","13.3969900","0.0206120","13.397(21)","3970.0720","0.0223","3970.07(2)","2905739.1547","8941.410382","2.9057(89)E+06","0.2563807560027672","0.0014787543481904275","0.2564(15)","","","",""
"8s1/2","5p1/2","0.5022811","0.0031190","0.5023(31)","607.2432","0.0004","607.2432(4)","1141413.3772","14175.601524","1.141(14)E+06","0.18468887563485564","0.002114177452645884","0.1847(21)","","","",""
"8s1/2","5p3/2","0.7077790","0.0046757","0.7078(47)","616.1327","0.0004","616.1327(4)","2169751.3697","28667.441625","2.170(29)E+06","0.3510813425728563","0.0032513264322225157","0.3511(33)","","","",""
"8s1/2","6p1/2","1.8512048","0.0102944","1.851(10)","1875.5621","0.0050","1875.562(5)","526201.2969","5852.327109","5.262(59)E+05","0.0851431460557668","0.0009944040926015607","0.08514(99)","","","",""
"8s1/2","6p3/2","2.5975176","0.0155197","2.598(16)","1903.2303","0.0051","1903.230(5)","991471.6684","11847.732131","9.91(12)E+05","0.1604272311180645","0.0018344202628845627","0.1604(18)","","","",""
"8s1/2","7p1/2","15.9900350","0.1599003","15.99(16)","8252.2141","0.0963","8252.2(1)","460919.0774","9218.392789","4.609(92)E+05","0.07458001444557569","0.0014425187645282947","0.0746(14)","","","",""
"8s1/2","7p3/2","23.2263750","0.0358350","23.226(36)","8498.2995","0.1021","8498.3(1)","890438.8137","2747.828971","8.904(27)E+05","0.14407939017288118","0.0009174914581267923","0.14408(92)","","","",""
"9s1/2","5p1/2","0.3314889","0.0021270","0.3315(21)","558.0332","0.0003","558.0332(3)","640612.1886","8220.981982","6.406(82)E+05","0.17446401852624494","0.0020543182478906926","0.1745(21)","","","",""
"9s1/2","5p3/2","0.4661778","0.0031886","0.4662(32)","565.5313","0.0003","565.5313(3)","1217223.8579","16651.329276","1.217(17)E+06","0.3314981661168941","0.0032224309514278233","0.3315(32)","","","",""
"9s1/2","6p1/2","0.9348055","0.0057205","0.9348(57)","1474.0675","0.0031","1474.067(3)","276393.4484","3382.754868","2.764(34)E+05","0.07527286017514095","0.0009481669830394846","0.07527(95)","","","",""
"9s1/2","6p3/2","1.3037247","0.0086075","1.3037(86)","1491.1041","0.0031","1491.104(3)","519380.0083","6858.141040","5.194(69)E+05","0.14144770426418543","0.0017692940745014857","0.1414(18)","","","",""
"9s1/2","7p1/2","2.9981154","0.0165175","2.998(17)","3753.7383","0.0199","3753.74(2)","172163.8805","1897.004943","1.722(19)E+05","0.046887029281366954","0.0005576466377490914","0.04689(56)","","","",""
"9s1/2","7p3/2","4.1858575","0.0250502","4.186(25)","3803.8420","0.0205","3803.84(2)","322506.7413","3860.076802","3.225(39)E+05","0.08783133243675914","0.0010739885833877358","0.0878(11)","","","",""
"9s1/2","8p1/2","24.5819680","0.0402690","24.582(40)","15058.1773","0.3207","15058.2(3)","179288.8960","587.516591","1.7929(59)E+05","0.04882745260413508","0.0003130990264408069","0.04883(31)","","","",""
"9s1/2","8p3/2","35.5695490","0.0647740","35.570(65)","15498.0852","0.3397","15498.1(3)","344318.1335","1254.246831","3.443(13)E+05","0.09377143659527334","0.0006092214171764945","0.09377(61)","","","",""
"10s1/2","5p1/2","0.2429407","0.0015873","0.2429(16)","532.3855","0.0003","532.3855(3)","396240.7816","5177.831443","3.962(52)E+05","0.16935833135828277","0.0020322879496630997","0.1694(20)","","","",""
"10s1/2","5p3/2","0.3413062","0.0023800","0.3413(24)","539.2060","0.0003","539.2060(3)","752768.4330","10498.425654","7.53(10)E+05","0.3217427675571733","0.003224222488930631","0.3217(32)","","","",""
"10s1/2","6p1/2","0.6059422","0.0038080","0.6059(38)","1307.6596","0.0024","1307.660(2)","166347.2304","2090.794519","1.663(21)E+05","0.07109891429076368","0.0009176776891177986","0.07110(92)","","","",""
"10s1/2","6p3/2","0.8431175","0.0057288","0.8431(57)","1321.0493","0.0025","1321.049(2)","312360.7145","4244.846569","3.124(42)E+05","0.13350692771004968","0.001722420376478007","0.1335(17)","","","",""
"10s1/2","7p1/2","1.4714307","0.0089840","1.4714(90)","2835.0208","0.0114","2835.02(1)","96260.5182","1175.461291","9.63(12)E+04","0.04114296533239452","0.0005331537916343613","0.04114(53)","","","",""
"10s1/2","7p3/2","2.0404966","0.0135836","2.040(14)","2863.5072","0.0116","2863.51(1)","179644.6223","2391.791986","1.796(24)E+05","0.07678238807649682","0.00103334817956743","0.0768(10)","","","",""
"10s1/2","8p1/2","4.3946760","0.0246703","4.395(25)","6547.1120","0.0606","6547.11(6)","69717.4858","782.745556","6.972(78)E+04","0.02979813691993352","0.0003644907507208463","0.02980(36)","","","",""
"10s1/2","8p3/2","6.1164479","0.0377769","6.116(38)","6628.9216","0.0621","6628.92(6)","130108.9666","1607.183201","1.301(16)E+05","0.05561022109494843","0.0007179872520763357","0.05561(72)","","","",""
"10s1/2","9p1/2","34.8757440","0.0589870","34.876(59)","24788.0006","0.8690","24788.0(9)","80902.0969","273.799334","8.090(27)E+04","0.03457858143927892","0.00022340383119914134","0.03458(22)","","","",""
"10s1/2","9p3/2","50.4214580","0.0947430","50.421(95)","25501.0315","0.9197","25501.0(9)","155308.3718","583.897342","1.5531(58)E+05","0.06638076622067848","0.0004369945690997068","0.06638(44)","","","",""
"11s1/2","5p1/2","0.1892199","0.0012505","0.1892(13)","517.1093","0.0003","517.1093(3)","262315.4403","3467.134909","2.623(35)E+05","0.1664445435310547","0.00202023406049803","0.1664(20)","","","",""
"11s1/2","5p3/2","0.2656775","0.0018750","0.2657(19)","523.5417","0.0003","523.5417(3)","498302.5122","7033.468896","4.983(70)E+05","0.31618319566131753","0.0032247539887048787","0.3162(32)","","","",""
"11s1/2","6p1/2","0.4406402","0.0028008","0.4406(28)","1219.1940","0.0021","1219.194(2)","108539.3150","1379.796662","1.085(14)E+05","0.0688704283587149","0.0008982830402431031","0.06887(90)","","","",""
"11s1/2","6p3/2","0.6123981","0.0042136","0.6124(42)","1230.8253","0.0021","1230.825(2)","203758.5103","2803.917651","2.038(28)E+05","0.12928896676437932","0.0016915400364189237","0.1293(17)","","","",""
"11s1/2","7p1/2","0.9400835","0.0058895","0.9401(59)","2449.6589","0.0085","2449.659(8)","60905.0531","763.124623","6.091(76)E+04","0.03864550918568421","0.0005121609542327798","0.03865(51)","","","",""
"11s1/2","7p3/2","1.3002539","0.0088982","1.3003(89)","2470.8984","0.0086","2470.898(9)","113534.7974","1553.935936","1.135(16)E+05","0.07204016472457737","0.0009959174864263244","0.0720(10)","","","",""
"11s1/2","8p1/2","2.1119498","0.0132813","2.112(13)","4802.4258","0.0326","4802.43(3)","40796.4621","513.109510","4.080(51)E+04","0.02588619452334489","0.00034804672582109325","0.02589(35)","","","",""
"11s1/2","8p3/2","2.9179799","0.0202563","2.918(20)","4846.2973","0.0332","4846.30(3)","75782.9934","1052.155797","7.58(11)E+04","0.04808586844009393","0.000688481768268246","0.04809(69)","","","",""
"11s1/2","9p1/2","6.0417025","0.0336030","6.042(34)","10435.0258","0.1540","10435.0(2)","32544.3351","362.015824","3.254(36)E+04","0.0206500501925434","0.00025240772839472725","0.02065(25)","","","",""
"11s1/2","9p3/2","8.3908938","0.0517625","8.391(52)","10559.3164","0.1577","10559.3(2)","60582.3822","747.457018","6.058(75)E+04","0.038440767866333006","0.0005031132141836335","0.03844(50)","","","",""
"11s1/2","10p1/2","46.9207650","0.0843570","46.921(84)","37969.2525","2.0388","37969(2)","40744.7200","146.653614","4.074(15)E+04","0.025853363114706845","0.0001696533199800151","0.02585(17)","","","",""
"11s1/2","10p3/2","67.8003750","0.1408820","67.80(14)","39053.1944","2.1569","39053(2)","78186.5076","325.184711","7.819(33)E+04","0.04961094763725006","0.00033778475814411134","0.04961(34)","","","",""
"12s1/2","5p1/2","0.1533667","0.0010443","0.1534(10)","507.2033","0.0001","507.2033(1)","182622.0899","2487.009875","1.826(25)E+05","0.16465760915214245","0.002059898908144695","0.1647(21)","","","",""
"12s1/2","5p3/2","0.2152519","0.0015678","0.2153(16)","513.3901","0.0001","513.3901(1)","346887.6710","5053.153921","3.469(51)E+05","0.3127644338663075","0.003303826765287806","0.3128(33)","","","",""
"12s1/2","6p1/2","0.3421317","0.0022556","0.3421(23)","1165.5243","0.0015","1165.524(1)","74896.2357","987.549275","7.490(99)E+04","0.06752871525398987","0.0009122589886646555","0.06753(91)","","","",""
"12s1/2","6p3/2","0.4751569","0.0033964","0.4752(34)","1176.1496","0.0015","1176.150(1)","140580.0622","2009.719905","1.406(20)E+05","0.12675124320965225","0.0017225316422806438","0.1268(17)","","","",""
"12s1/2","7p1/2","0.6781996","0.0044433","0.6782(44)","2242.2073","0.0054","2242.207(5)","41335.6817","541.630701","4.134(54)E+04","0.03726950293478774","0.0005150975286497015","0.03727(52)","","","",""
"12s1/2","7p3/2","0.9367728","0.0067151","0.9368(67)","2259.9886","0.0055","2259.989(6)","77017.0867","1104.168494","7.70(11)E+04","0.06944093872156387","0.0010041712405539983","0.0694(10)","","","",""
