"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"5s1/2","4p1/2","3.8856095","0.0071707","3.8856(72)","1243.5699","0.0008","1243.5699(8)","7953256.5254","29354.686234","7.953(29)E+06","0.33488486815004476","0.0011757708036745497","0.3349(12)","","","",""
"5s1/2","4p3/2","5.5354362","0.0104451","5.535(10)","1252.5591","0.0008","1252.5591(8)","15795969.7963","59612.467240","1.5796(60)E+07","0.6651151318499552","0.0011757708036745495","0.6651(12)","","","",""
"6s1/2","4p1/2","0.9034669","0.0037031","0.9035(37)","691.2988","0.0001","691.2988(1)","2503020.3304","20518.592573","2.503(21)E+06","0.20338357538065135","0.00150426740594659","0.2034(15)","","","",""
"6s1/2","4p3/2","1.2788477","0.0053220","1.2788(53)","694.0678","0.0001","694.0678(1)","4955292.3371","41243.481757","4.955(41)E+06","0.4026435823752849","0.0021430141374323385","0.4026(21)","","","",""
"6s1/2","5p1/2","8.7851257","0.0133086","8.785(13)","3637.2519","0.0077","3637.252(8)","1624849.4431","4922.984535","1.6248(49)E+06","0.13202756893027903","0.0006135335620823509","0.13203(61)","","","",""
"6s1/2","5p3/2","12.5020310","0.0195090","12.502(20)","3662.2371","0.0078","3662.237(8)","3223733.0046","10061.075626","3.224(10)E+06","0.26194527331378453","0.0011560175000016942","0.2619(12)","","","",""
"7s1/2","4p1/2","0.4762591","0.0022558","0.4763(23)","578.4003","0.0001","578.4003(1)","1187512.6803","11249.301518","1.188(11)E+06","0.17687116503969733","0.0015340674624971316","0.1769(15)","","","",""
"7s1/2","4p3/2","0.6733556","0.0032422","0.6734(32)","580.3375","0.0001","580.3375(1)","2350089.3782","22631.310390","2.350(23)E+06","0.35002830131339513","0.0023493459235016437","0.3500(23)","","","",""
"7s1/2","5p1/2","1.8015238","0.0078777","1.8015(79)","1794.4086","0.0019","1794.409(2)","569053.7433","4976.714671","5.691(50)E+05","0.084756314796798","0.0007616465376811974","0.08476(76)","","","",""
"7s1/2","5p3/2","2.5445970","0.0113351","2.545(11)","1800.4686","0.0019","1800.469(2)","1123876.7655","10012.788918","1.124(10)E+06","0.16739306971647136","0.0014008466896546336","0.1674(14)","","","",""
"7s1/2","6p1/2","15.3893750","0.0245650","15.389(25)","7843.2683","0.3081","7843.3(3)","497265.1970","1588.581898","4.973(16)E+05","0.07406394574329572","0.000377126710716651","0.07406(38)","","","",""
